,GENE,GSM282000,GSM282001,GSM282002
37,SO0016,-0.200304755,-0.135043638,0.021364935
38,SO0017,-0.584978138,-0.668645418,-1.33225108
39,SO0017,-0.420089744,-0.759189751,-1.115020192
40,SO0017F,1.25705871,1.541466456,1.057199326
41,SO0017F,1.440439746,1.509688182,1.048127632
42,SO0018,-0.160607144,0.111656342,-0.222040837
43,SO0018,-0.329691807,-0.344683616,-0.54831936
44,SO0019,0.166763338,0.104818318,-0.119656914
45,SO0019,-0.468675409,0.199273013,0.11681796
46,SO0020,-0.156112204,0.018681735,-0.249805333
47,SO0020,-0.357720983,-0.44196062,-0.332230106
48,SO0021,0.182919206,0.424690826,0.186953277
49,SO0021,0.349070636,0.391925105,0.111094873
50,SO0022,-0.62310626,-0.582420471,-0.574128032
51,SO0022,-0.571327262,-0.426075732,-0.642296658
52,SO0023,-0.026748764,0.170411482,-0.369950701
53,SO0023,-0.085006624,0.220404622,-0.479429366
54,SO0024,-0.428463224,-0.2243703,-0.876486779
55,SO0024,-0.095933824,-1.00262624,-0.608773885
56,SO0024F,-1.327589657,-1.538475599,-1.345032846
57,SO0024F,-1.333942957,-0.707750314,-1.580797523
58,SO0025,0.213186802,0.199428577,-0.059194923
59,SO0025,0.378792251,0.654488527,0.172750109
60,SO0026,-0.723555972,-0.864507645,-1.017422938
61,SO0026,-0.856679975,-0.691057217,-0.813107528
62,SO0027,0.314018546,0.547432286,0.352145792
63,SO0027,0.025898662,0.387674716,0.195130483
64,SO0028,0.773914032,0.828660433,0.521836793
65,SO0028,0.525012666,0.66031506,0.52074462
66,SO0029,0.147659344,0.193036349,-0.273229879
67,SO0029,0.309825443,0.436148241,-0.295708423
68,SO0030,0.214442851,0.284101254,-0.00087838
